entry,rf_value
1,1.891
2,1.962
3,1.9755
4,1.9965
5,2.0645
6,2.0635
7,2.1795
8,2.273
9,2.3915
10,2.5275
11,2.6265
12,2.749
13,2.848
14,3.0545
15,3.2095
16,3.461
17,3.687
18,4.0095
19,4.453
20,4.8975
21,5.4595
22,6.1025
23,6.424
24,6.737
25,7.246
26,7.8515
27,8.142
28,8.5585
29,9.001
30,9.305
31,9.7425
32,10.158
33,10.5815
34,11.0785
35,11.3225
36,11.5435
37,12.1
38,12.3285
39,12.632
40,12.974
41,13.099
42,13.2885
43,13.767
44,14.0045
45,14.263
46,14.613
47,15.0065
48,15.183
49,15.3915
50,15.6235
51,15.836
52,16.197
53,16.345
54,16.573
55,16.947
56,17.19
57,17.493
58,17.6365
59,17.885
60,18.2475
61,18.4315
62,18.912
63,19.01
64,18.969
65,19.6785
66,19.804
67,20.172
68,20.3795
69,20.765
70,21.3035
71,21.5345
72,21.7855
73,22.2215
74,22.7305
75,23.63
76,24.196
77,25.066
78,25.904
79,26.8625
80,28.372
81,30.189
82,32.0855
83,34.6745
84,37.554
85,40.8905
86,45.5035
87,49.486
88,54.996
89,60.184
90,66.3575
91,72.1085
92,78.1065
93,82.586
94,84.1915
95,83.0105
96,78.5445
97,81.5215
98,78.638
99,71.6655
100,62.2995
101,55.477
102,48.313
103,41.6565
104,35.1715
105,28.8355
106,23.3155
107,19.204
108,16.1205
109,13.906
110,12.0945
111,10.6895
112,9.8135
113,9.062
114,8.738
115,8.7915
116,9.1545
117,10.077
118,11.8995
119,13.424
120,14.3785
121,15.0775
122,16.05
123,16.9455
124,17.8495
125,18.272
126,19.3385
127,19.9045
128,20.7445
129,21.5025
130,22.1835
131,22.7815
132,23.151
133,22.6685
134,21.3355
135,21.3075
136,22.2525
137,23.202
138,24.145
139,25.486
140,26.7585
141,27.8025
142,29.401
143,31.506
144,33.086
145,34.717
146,37.05
147,39.1565
148,41.6675
149,44.294
150,47.22
