1	0.003
2	0.004
3	0.003
4	0.004
5	0.004
6	0.004
7	0.0055
8	0.005
9	0.004
10	0.005
11	0.004
12	0.005
13	0.0045
14	0.006
15	0.005
16	0.005
17	0.005
18	0.0055
19	0.004
20	0.0035
21	0.005
22	0.0045
23	0.005
24	0.004
25	0.0045
26	0.004
27	0.006
28	0.0045
29	0.004
30	0.0045
31	0.004
32	0.0035
33	0.003
34	0.003
35	0.006
36	0.003
37	0.002
38	0.0035
39	0.003
40	0.001
41	0.001
42	0.001
43	0.002
44	0.0025
45	0.003
46	0.001
47	0.002
48	0.0015
49	0.002
50	0.0035
51	0.0025
52	0.001
53	0.002
54	0.0025
55	0.001
56	0.001
57	0.002
58	0.001
59	0.0015
60	0.002
61	0.0025
62	0.0015
63	0.001
64	0.001
65	0.0015
66	0.0005
67	0.0015
68	0.0035
69	0.002
70	0.0025
71	0.001
72	0.0005
73	0.0005
74	0.001
75	0.001
76	0.002
77	0.002
78	0.003
79	0.0015
80	0.003
81	0.0015
82	0.002
83	0.0015
84	0.0045
85	0.001
86	0.002
87	0.002
88	0.004
89	0.004
90	0.0045
91	0.0055
92	0.012
93	0.0335
94	0.0485
95	0.11
96	0.197
97	0.3645
98	0.583
99	0.955
100	1.361
101	1.8665
102	2.2395
103	2.6345
104	2.831
105	2.8435
106	2.572
107	2.2005
108	1.85
109	1.4745
110	1.273
111	1.053
112	0.9275
113	0.801
114	0.7205
115	0.678
116	0.651
117	0.6375
118	0.7145
119	0.789
120	0.837
121	0.895
122	0.913
123	0.997
124	1.036
125	1.0825
126	1.1685
127	1.201
128	1.2965
129	1.4035
130	1.4015
131	1.435
132	1.4405
133	1.442
134	1.353
135	1.375
136	1.446
137	1.475
138	1.6065
139	1.6975
140	1.7695
141	1.802
142	1.946
143	1.991
144	2.1575
145	2.338
146	2.486
147	2.598
148	2.743
149	2.94
150	3.182
