lower_edge_binvalue,bin_width,flux_value
1e-09,2.6e-10,2.63059e-05
1.26e-09,3.2e-10,3.95268e-05
1.58e-09,4.2e-10,5.95419e-05
2e-09,5.1e-10,8.97909e-05
2.51e-09,6.5e-10,0.00013536
3.16e-09,8.2e-10,0.00020364
3.98e-09,1.03e-09,0.000305122
5.01e-09,1.3e-09,0.000454256
6.31e-09,1.63e-09,0.000670029
7.94e-09,2.06e-09,0.000975911
1e-08,2.6e-09,0.00139759
1.26e-08,3.2e-09,0.00195849
1.58e-08,4.2e-09,0.00266824
2e-08,5.1e-09,0.0035072
2.51e-08,6.5e-09,0.00440588
3.16e-08,8.2e-09,0.00522924
3.98e-08,1.03e-08,0.00578323
5.01e-08,1.3e-08,0.00586556
6.31e-08,1.63e-08,0.00536597
7.94e-08,2.06e-08,0.00437426
1e-07,2.6e-08,0.00319991
1.26e-07,3.2e-08,0.00222862
1.58e-07,4.2e-08,0.00168648
2e-07,5.1e-08,0.00153362
2.51e-07,6.5e-08,0.00158522
3.16e-07,8.2e-08,0.00169393
3.98e-07,1.03e-07,0.00180179
5.01e-07,1.3e-07,0.00189718
6.31e-07,1.63e-07,0.00197961
7.94e-07,2.06e-07,0.00205026
1e-06,2.6e-07,0.00211056
1.26e-06,3.2e-07,0.00216209
1.58e-06,4.2e-07,0.00220627
2e-06,5.1e-07,0.00224443
2.51e-06,6.5e-07,0.0022777
3.16e-06,8.2e-07,0.00230704
3.98e-06,1.03e-06,0.00233324
5.01e-06,1.3e-06,0.00235692
6.31e-06,1.63e-06,0.00237861
7.94e-06,2.06e-06,0.00239872
1e-05,2.6e-06,0.00241757
1.26e-05,3.2e-06,0.00243544
1.58e-05,4.2e-06,0.00245252
2e-05,5.1e-06,0.00246899
2.51e-05,6.5e-06,0.00248498
3.16e-05,8.2e-06,0.00250061
3.98e-05,1.03e-05,0.00251597
5.01e-05,1.3e-05,0.00253116
6.31e-05,1.63e-05,0.00254625
7.94e-05,2.06e-05,0.00256133
0.0001,2.5897e-05,0.00257646
0.000125897,3.2591e-05,0.00259171
0.000158488,4.1041e-05,0.00260719
0.000199529,5.1662e-05,0.00262296
0.000251191,6.5038e-05,0.00263913
0.000316229,8.1881e-05,0.00265581
0.00039811,0.00010308,0.00267311
0.00050119,0.000129765,0.00269118
0.000630955,0.00016338,0.00271017
0.000794335,0.000205665,0.00273027
0.001,0.00025896,0.00275169
0.00125896,0.00032592,0.00277464
0.00158488,0.00041041,0.00279942
0.00199529,0.00051662,0.00282633
0.00251191,0.00065039,0.00285572
0.0031623,0.0008188,0.002888
0.0039811,0.0010308,0.00292363
0.0050119,0.00129765,0.00296314
0.00630955,0.0016338,0.00300713
0.00794335,0.00205665,0.00305626
0.01,0.0025886,0.00311127
0.0125886,0.0032603,0.00317307
0.0158489,0.004104,0.00324255
0.0199529,0.0051663,0.00332077
0.0251192,0.0065037,0.00340884
0.0316229,0.0081881,0.00350801
0.039811,0.010308,0.00361957
0.050119,0.0129765,0.00374485
0.0630955,0.016337,0.0038852
0.0794325,0.0205675,0.00404188
0.1,0.025886,0.0042159
0.125886,0.032602,0.00440808
0.158488,0.041041,0.00461836
0.199529,0.051662,0.00484579
0.251191,0.065038,0.00508789
0.316229,0.081881,0.00533996
0.39811,0.10308,0.00559419
0.50119,0.129775,0.00583876
0.630965,0.16336,0.00605683
0.794325,0.205675,0.00622611
1,0.25886,0.00631907
1.25886,0.32603,0.00630512
1.58489,0.4104,0.00615492
1.99529,0.51662,0.00584828
2.51191,0.65039,0.00538402
3.1623,0.8188,0.00478987
3.9811,1.0308,0.00412651
5.0119,1.29765,0.00347909
6.30955,1.6338,0.00293332
7.94335,2.05665,0.0025444
10,2.5897,0.00231705
12.5897,3.2592,0.00221587
15.8489,4.1039,0.00220057
19.9528,5.1663,0.00225916
25.1191,6.5038,0.00241472
31.6229,8.1881,0.00270676
39.811,10.308,0.00316021
50.119,12.9765,0.00375262
63.0955,16.338,0.00439459
79.4335,20.5665,0.00494053
100,25.887,0.00523619
125.887,32.601,0.00518005
158.488,41.04,0.00476348
199.528,51.663,0.00406776
251.191,65.038,0.0032267
316.229,81.881,0.00238403
398.11,103.08,0.00165766
501.19,129.775,0.00110997
630.965,163.37,0.000739323
794.335,205.665,0.000503591
1000,258.86,0.00035448
1258.86,326.03,0.00025634
1584.89,410.39,0.000188301
1995.28,516.64,0.000139203
2511.92,650.38,0.000103027
3162.3,818.8,7.61791e-05
3981.1,1030.8,5.62432e-05
5011.9,1297.75,4.14641e-05
6309.65,1633.7,3.05316e-05
7943.35,2056.65,2.24593e-05
