lower_edge_binvalue,bin_width,flux_value
1e-09,2.6e-10,2.16319e-05
1.26e-09,3.2e-10,3.32461e-05
1.58e-09,4.2e-10,5.10916e-05
2e-09,5.1e-10,7.84078e-05
2.51e-09,6.5e-10,0.000120009
3.16e-09,8.2e-10,0.000182917
3.98e-09,1.03e-09,0.000277134
5.01e-09,1.3e-09,0.000416464
6.31e-09,1.63e-09,0.000619067
7.94e-09,2.06e-09,0.000907385
1e-08,2.6e-09,0.00130592
1.26e-08,3.2e-09,0.00183677
1.58e-08,4.2e-09,0.00250842
2e-08,5.1e-09,0.00330051
2.51e-08,6.5e-09,0.00414372
3.16e-08,8.2e-09,0.00490448
3.98e-08,1.03e-08,0.00539162
5.01e-08,1.3e-08,0.00540634
6.31e-08,1.63e-08,0.00484091
7.94e-08,2.06e-08,0.00378485
1e-07,2.6e-08,0.00254411
1.26e-07,3.2e-08,0.00150017
1.58e-07,4.2e-08,0.000877966
2e-07,5.1e-08,0.000641236
2.51e-07,6.5e-08,0.000610892
3.16e-07,8.2e-08,0.000643863
3.98e-07,1.03e-07,0.000684082
5.01e-07,1.3e-07,0.000720267
6.31e-07,1.63e-07,0.000751565
7.94e-07,2.06e-07,0.000778388
1e-06,2.6e-07,0.000801283
1.26e-06,3.2e-07,0.00082085
1.58e-06,4.2e-07,0.00083763
2e-06,5.1e-07,0.000852121
2.51e-06,6.5e-07,0.000864758
3.16e-06,8.2e-07,0.000875903
3.98e-06,1.03e-06,0.000885855
5.01e-06,1.3e-06,0.000894858
6.31e-06,1.63e-06,0.000903105
7.94e-06,2.06e-06,0.000910754
1e-05,2.6e-06,0.00091793
1.26e-05,3.2e-06,0.000924735
1.58e-05,4.2e-06,0.000931246
2e-05,5.1e-06,0.00093753
2.51e-05,6.5e-06,0.000943639
3.16e-05,8.2e-06,0.00094962
3.98e-05,1.03e-05,0.000955511
5.01e-05,1.3e-05,0.000961349
6.31e-05,1.63e-05,0.000967165
7.94e-05,2.06e-05,0.000972992
0.0001,2.5897e-05,0.000978863
0.000125897,3.2591e-05,0.000984811
0.000158488,4.1041e-05,0.000990873
0.000199529,5.1662e-05,0.000997091
0.000251191,6.5038e-05,0.00100351
0.000316229,8.1881e-05,0.00101018
0.00039811,0.00010308,0.00101716
0.00050119,0.000129765,0.00102453
0.000630955,0.00016338,0.00103235
0.000794335,0.000205665,0.00104073
0.001,0.00025896,0.00104978
0.00125896,0.00032592,0.00105961
0.00158488,0.00041041,0.00107038
0.00199529,0.00051662,0.00108226
0.00251191,0.00065039,0.00109546
0.0031623,0.0008188,0.00111022
0.0039811,0.0010308,0.00112681
0.0050119,0.00129765,0.00114558
0.00630955,0.0016338,0.00116691
0.00794335,0.00205665,0.00119126
0.01,0.0025886,0.00121916
0.0125886,0.0032603,0.0012513
0.0158489,0.004104,0.00128839
0.0199529,0.0051663,0.00133134
0.0251192,0.0065037,0.0013812
0.0316229,0.0081881,0.00143921
0.039811,0.010308,0.00150681
0.050119,0.0129765,0.00158567
0.0630955,0.016337,0.00167772
0.0794325,0.0205675,0.00178515
0.1,0.025886,0.0019103
0.125886,0.032602,0.00205581
0.158488,0.041041,0.00222413
0.199529,0.051662,0.00241745
0.251191,0.065038,0.00263723
0.316229,0.081881,0.00288345
0.39811,0.10308,0.00315359
0.50119,0.129775,0.00344148
0.630965,0.16336,0.00373569
0.794325,0.205675,0.00401843
1,0.25886,0.00426452
1.25886,0.32603,0.00444269
1.58489,0.4104,0.00451837
1.99529,0.51662,0.00446108
2.51191,0.65039,0.00425464
3.1623,0.8188,0.0039086
3.9811,1.0308,0.00346567
5.0119,1.29765,0.0029975
6.30955,1.6338,0.00258458
7.94335,2.05665,0.00228604
10,2.5897,0.0021171
12.5897,3.2592,0.00205406
15.8489,4.1039,0.0020651
19.9528,5.1663,0.0021423
25.1191,6.5038,0.00231004
31.6229,8.1881,0.00260866
39.811,10.308,0.00306464
50.119,12.9765,0.00365809
63.0955,16.338,0.0043025
79.4335,20.5665,0.00485451
100,25.887,0.00516051
125.887,32.601,0.00511795
158.488,41.04,0.00471616
199.528,51.663,0.00403428
251.191,65.038,0.00320472
316.229,81.881,0.00237059
398.11,103.08,0.00164992
501.19,129.775,0.00110569
630.965,163.37,0.000736963
794.335,205.665,0.000502262
1000,258.86,0.000353707
1258.86,326.03,0.000255878
1584.89,410.39,0.00018802
1995.28,516.64,0.000139031
2511.92,650.38,0.000102922
3162.3,818.8,7.6115e-05
3981.1,1030.8,5.62041e-05
5011.9,1297.75,4.14403e-05
6309.65,1633.7,3.05171e-05
7943.35,2056.65,2.24505e-05
