lower_edge_binvalue,bin_width,flux_value
1e-09,2.6e-10,1.77255e-05
1.26e-09,3.2e-10,2.72861e-05
1.58e-09,4.2e-10,4.19907e-05
2e-09,5.1e-10,6.4518e-05
2.51e-09,6.5e-10,9.885e-05
3.16e-09,8.2e-10,0.000150797
3.98e-09,1.03e-09,0.000228634
5.01e-09,1.3e-09,0.000343788
6.31e-09,1.63e-09,0.000511288
7.94e-09,2.06e-09,0.000749709
1e-08,2.6e-09,0.00107932
1.26e-08,3.2e-09,0.00151842
1.58e-08,4.2e-09,0.00207397
2e-08,5.1e-09,0.00272904
2.51e-08,6.5e-09,0.00342613
3.16e-08,8.2e-09,0.00405445
3.98e-08,1.03e-08,0.00445548
5.01e-08,1.3e-08,0.00446441
6.31e-08,1.63e-08,0.00399197
7.94e-08,2.06e-08,0.00311244
1e-07,2.6e-08,0.00207954
1.26e-07,3.2e-08,0.00120965
1.58e-07,4.2e-08,0.000689407
2e-07,5.1e-08,0.000488879
2.51e-07,6.5e-08,0.000459722
3.16e-07,8.2e-08,0.000483412
3.98e-07,1.03e-07,0.000513509
5.01e-07,1.3e-07,0.000540668
6.31e-07,1.63e-07,0.000564161
7.94e-07,2.06e-07,0.000584296
1e-06,2.6e-07,0.000601482
1.26e-06,3.2e-07,0.00061617
1.58e-06,4.2e-07,0.000628766
2e-06,5.1e-07,0.000639644
2.51e-06,6.5e-07,0.00064913
3.16e-06,8.2e-07,0.000657497
3.98e-06,1.03e-06,0.000664968
5.01e-06,1.3e-06,0.000671726
6.31e-06,1.63e-06,0.000677917
7.94e-06,2.06e-06,0.00068366
1e-05,2.6e-06,0.000689046
1.26e-05,3.2e-06,0.000694156
1.58e-05,4.2e-06,0.000699045
2e-05,5.1e-06,0.000703762
2.51e-05,6.5e-06,0.00070835
3.16e-05,8.2e-06,0.000712841
3.98e-05,1.03e-05,0.000717266
5.01e-05,1.3e-05,0.00072165
6.31e-05,1.63e-05,0.000726019
7.94e-05,2.06e-05,0.000730397
0.0001,2.5897e-05,0.000734808
0.000125897,3.2591e-05,0.000739277
0.000158488,4.1041e-05,0.000743834
0.000199529,5.1662e-05,0.000748509
0.000251191,6.5038e-05,0.000753335
0.000316229,8.1881e-05,0.000758352
0.00039811,0.00010308,0.000763606
0.00050119,0.000129765,0.000769148
0.000630955,0.00016338,0.000775039
0.000794335,0.000205665,0.000781348
0.001,0.00025896,0.000788161
0.00125896,0.00032592,0.000795568
0.00158488,0.00041041,0.000803686
0.00199529,0.00051662,0.000812644
0.00251191,0.00065039,0.000822598
0.0031623,0.0008188,0.00083373
0.0039811,0.0010308,0.000846254
0.0050119,0.00129765,0.00086042
0.00630955,0.0016338,0.000876529
0.00794335,0.00205665,0.000894928
0.01,0.0025886,0.000916028
0.0125886,0.0032603,0.000940338
0.0158489,0.004104,0.000968425
0.0199529,0.0051663,0.00100098
0.0251192,0.0065037,0.00103882
0.0316229,0.0081881,0.00108292
0.039811,0.010308,0.00113441
0.050119,0.0129765,0.00119465
0.0630955,0.016337,0.00126521
0.0794325,0.0205675,0.00134791
0.1,0.025886,0.00144479
0.125886,0.032602,0.00155824
0.158488,0.041041,0.00169063
0.199529,0.051662,0.00184438
0.251191,0.065038,0.0020216
0.316229,0.081881,0.00222352
0.39811,0.10308,0.00244975
0.50119,0.129775,0.00269719
0.630965,0.16336,0.00295853
0.794325,0.205675,0.0032209
1,0.25886,0.00346437
1.25886,0.32603,0.0036623
1.58489,0.4104,0.00378286
1.99529,0.51662,0.0037951
2.51191,0.65039,0.00367816
3.1623,0.8188,0.00343281
3.9811,1.0308,0.00309033
5.0119,1.29765,0.00271131
6.30955,1.6338,0.00236886
7.94335,2.05665,0.00212053
10,2.5897,0.00198505
12.5897,3.2592,0.00194436
15.8489,4.1039,0.00197118
19.9528,5.1663,0.00205971
25.1191,6.5038,0.00223485
31.6229,8.1881,0.00253721
39.811,10.308,0.00299422
50.119,12.9765,0.00358775
63.0955,16.338,0.0042334
79.4335,20.5665,0.00478952
100,25.887,0.00510299
125.887,32.601,0.00507053
158.488,41.04,0.00467986
199.528,51.663,0.00400852
251.191,65.038,0.00318774
316.229,81.881,0.00236018
398.11,103.08,0.00164392
501.19,129.775,0.00110236
630.965,163.37,0.000735127
794.335,205.665,0.000501227
1000,258.86,0.000353103
1258.86,326.03,0.000255517
1584.89,410.39,0.000187801
1995.28,516.64,0.000138897
2511.92,650.38,0.00010284
3162.3,818.8,7.60648e-05
3981.1,1030.8,5.61735e-05
5011.9,1297.75,4.14216e-05
6309.65,1633.7,3.05057e-05
7943.35,2056.65,2.24436e-05
