Emid,Ewid,Elower,Eupper
2.25E+02,5.17E+01,2.01E+02,2.53E+02
2.84E+02,6.50E+01,2.53E+02,3.18E+02
3.57E+02,8.19E+01,3.18E+02,4.01E+02
4.50E+02,1.03E+02,4.01E+02,5.05E+02
5.66E+02,1.30E+02,5.05E+02,6.35E+02
7.13E+02,1.63E+02,6.35E+02,8.00E+02
8.97E+02,2.06E+02,8.00E+02,1.01E+03
1.13E+03,2.59E+02,1.01E+03,1.27E+03
1.42E+03,3.26E+02,1.27E+03,1.60E+03
1.79E+03,4.10E+02,1.60E+03,2.01E+03
2.25E+03,5.17E+02,2.01E+03,2.53E+03
2.84E+03,6.50E+02,2.53E+03,3.18E+03
3.57E+03,8.19E+02,3.18E+03,4.01E+03
4.50E+03,1.03E+03,4.01E+03,5.05E+03
5.66E+03,1.30E+03,5.05E+03,6.35E+03
7.13E+03,1.63E+03,6.35E+03,8.00E+03
8.97E+03,2.06E+03,8.00E+03,1.01E+04
1.13E+04,2.59E+03,1.01E+04,1.27E+04
1.42E+04,3.26E+03,1.27E+04,1.60E+04
1.79E+04,4.10E+03,1.60E+04,2.01E+04
2.25E+04,5.17E+03,2.01E+04,2.53E+04
2.84E+04,6.50E+03,2.53E+04,3.18E+04
3.57E+04,8.19E+03,3.18E+04,4.01E+04
4.50E+04,1.03E+04,4.01E+04,5.05E+04
5.66E+04,1.30E+04,5.05E+04,6.35E+04
7.13E+04,1.63E+04,6.35E+04,8.00E+04
8.97E+04,2.06E+04,8.00E+04,1.01E+05
1.13E+05,2.59E+04,1.01E+05,1.27E+05
1.42E+05,3.26E+04,1.27E+05,1.60E+05
1.79E+05,4.10E+04,1.60E+05,2.01E+05
2.25E+05,5.17E+04,2.01E+05,2.53E+05
2.84E+05,6.50E+04,2.53E+05,3.18E+05
3.57E+05,8.19E+04,3.18E+05,4.01E+05
4.50E+05,1.03E+05,4.01E+05,5.05E+05
5.66E+05,1.30E+05,5.05E+05,6.35E+05
7.13E+05,1.63E+05,6.35E+05,8.00E+05
8.97E+05,2.06E+05,8.00E+05,1.01E+06
1.13E+06,2.59E+05,1.01E+06,1.27E+06
1.42E+06,3.26E+05,1.27E+06,1.60E+06
1.79E+06,4.10E+05,1.60E+06,2.01E+06
2.25E+06,5.17E+05,2.01E+06,2.53E+06
2.84E+06,6.50E+05,2.53E+06,3.18E+06
3.57E+06,8.19E+05,3.18E+06,4.01E+06
4.50E+06,1.03E+06,4.01E+06,5.05E+06
5.66E+06,1.30E+06,5.05E+06,6.35E+06
7.13E+06,1.63E+06,6.35E+06,8.00E+06
8.97E+06,2.06E+06,8.00E+06,0.00E+00
